n_estimators,max_depth,min_samples_leaf,Val_MSE,Val_MAE,Val_R2,Val_R2_OOS,Val_Corr,Split
50,3.0,2,0.009094789494013007,0.06854368761227045,-0.04654602549654352,-0.009236462607148832,-0.02121685482426528,Split_4
100,3.0,5,0.00909847894420706,0.06858089046409077,-0.04697057401846316,-0.009645875894313205,,Split_4
100,3.0,10,0.00909847894420706,0.06858089046409077,-0.04697057401846316,-0.009645875894313205,,Split_4
100,3.0,2,0.009098902522809451,0.06858195522152716,-0.047019315608701095,-0.009692879837680302,-0.021216854824265295,Split_4
200,3.0,5,0.009114460366274113,0.06860781111571701,-0.04880957136491815,-0.011419312639055823,-0.28540397812987,Split_4
200,3.0,10,0.009114460366274113,0.06860781111571702,-0.04880957136491815,-0.011419312639055823,-0.28540397812986995,Split_4
200,3.0,2,0.00911627254793558,0.06861851899612083,-0.04901810082198099,-0.011620407981705272,-0.19905044461589594,Split_4
100,5.0,2,0.011508833080981327,0.07788970999086141,-0.32433230334060137,-0.2771196073347091,-0.0003680818486868778,Split_4
200,5.0,2,0.011592621676090788,0.07846195284590418,-0.333973936195487,-0.2864175141626528,0.0026034198672644036,Split_4
50,5.0,2,0.011677678826281223,0.07866301849594103,-0.3437615428828611,-0.2958561908284676,-0.00042404640312510494,Split_4
200,5.0,5,0.012072510265821962,0.08102295595547805,-0.38919516991342085,-0.3396701004995488,0.009121190787964367,Split_4
100,5.0,5,0.012141032281153163,0.0812736064374496,-0.397080062999851,-0.34727389566260314,0.009632483095878075,Split_4
200,5.0,10,0.012161258995591246,0.08142788125155846,-0.3994075701530364,-0.3495184267474727,0.008592944584488569,Split_4
100,5.0,10,0.012290768326939332,0.08198632041808253,-0.41431033135232287,-0.36388990170358926,0.00983001259743262,Split_4
50,5.0,5,0.012474125386895173,0.08291942629603749,-0.43540940159136876,-0.38423678611533907,0.013245245228439461,Split_4
50,5.0,10,0.0125175540947629,0.08304570385732035,-0.4404067840641943,-0.3890560109619259,0.011764145463756969,Split_4
100,,10,0.013976990153329899,0.0875553264862207,-0.6083454711074823,-0.5510076521867262,0.06436248756858103,Split_4
200,,10,0.014023565088911902,0.08785939686218237,-0.613704892977905,-0.556176009658208,0.06467533153920516,Split_4
50,,10,0.014168433558223668,0.08813389454489047,-0.6303750447035494,-0.5722518673355919,0.0628617664630197,Split_4
200,,5,0.014255075599233677,0.08850697908933158,-0.640345026275924,-0.5818664171874128,0.06039594863825684,Split_4
100,,5,0.014319586161495474,0.08862255915370544,-0.647768317665139,-0.5890250668406842,0.0578840084914908,Split_4
200,,2,0.014587236883371777,0.0892944863692014,-0.6785671392745141,-0.6187259046598013,0.05897813970259985,Split_4
50,,5,0.014612673824809692,0.08936457696329436,-0.6814941921744371,-0.6215486075726337,0.051863266545745815,Split_4
100,,2,0.014657490371239174,0.0893698883625053,-0.6866512745426578,-0.626521838983271,0.055630051276567706,Split_4
50,,2,0.014962127219775408,0.09034107685374154,-0.7217061247143153,-0.6603269771449503,0.05029555286246421,Split_4
